id,name,ontology,type,defination
264,neural crest cell,CL:0011012,1,"""A cell of the neural crest. Neural crest cells are multipotent. Premigratory neural crest cells are found at the neural plate boarder, some of which will undergo ectomesynchymal transition and delamination to form migratory neural crest cells."" [https://orcid.org/0000-0001-5208-3432, https://orcid.org/0000-0002-9900-7880]"
265,Schwann cell precursor,CL:0002375,1,"""A giioblast cell that develops from a migratory neural crest cell. The SCP is embedded among neurons (axons) with minimal extracellular spaces separating them from nerve cell membranes and has no basal lamina. In rodents SCPs are the only cells in the Schwann cell linage that expresses Cdh19."" [GOC:tfm]"
266,glioblast,CL:0000030,1,
267,myoblast,CL:0000056,1,"""A cell that is commited to differentiating into a muscle cell.  Embryonic myoblasts develop from the mesoderm. They undergo proliferation, migrate to their various sites, and then differentiate into the appropriate form of myocytes.  Myoblasts also occur as transient populations of cells in muscles undergoing repair."" [GOC:tfm, MESH:A11.635, PMID:21849021]"
268,Cajal-Retzius cell,CL:0000695,1,"""A neuron of the human embryonic marginal zone which display, as a salient feature, radial ascending processes that contact the pial surface, and a horizontal axon plexus located in the deep marginal zone. One feature of these cells in mammals is that they express the Reelin gene."" [PMID:10600995, PMID:9728912]"
269,forebrain neuroblast,CL:1000042,1,
270,motor neuron,CL:0000100,1,"""An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement."" [MESH:A08.663.655.500, PMID:16875686]"
271,sensory neuron,CL:0000101,1,"""Any neuron having a sensory function; an afferent neuron conveying sensory impulses."" [ISBN:0721662544]"
272,Mural.Rgs5Acta2.Rgs5,,2,
273,Chondroctye progenitors-21-10,,2,
274,kidney interstital cell 1,,2,
275,Gria2+ neuron,,2,
276,L5b,,2,
277,Intermediate Mesoderm-3-17,,2,
278,4_Meis2 HPF,,2,
279,"Pvalb Wt1, Pvalb Gpx3",,2,
280,Neuron.Gad1Gad2.Pvalb-Rgs12,,2,
281,87_Sst,,2,
282,Neuron.Slc17a7.Syt6-Etv1,,2,
283,Sympathetic cholinergic neurons,,2,
284,gamma-delta CD8+ T cell,,2,
285,Microglial,,2,
286,Exc L5 THEMIS FGF10,,2,
287,Gad1Gad2_Htr3a.Htr1b,,2,
288,Primitive erythroid lineage-26-3,,2,
289,33_Sncg,,2,
290,Excitatory neurons-5-8,,2,
291,Inh L1-2 PVALB CDK20,,2,
292,a1_tanycytes1,,2,
293,Oligodendrocyte.Tnf.Igsf8-Ctps,,2,
294,basal epithelial cell,,2,
295,Neuron.Sc17a7.Oprk1,,2,
296,117_Pvalb,,2,
297,Exc L5-6 FEZF2 CABP7,,2,
298,mitral/tufted cell,,2,
299,Mural.Rgs5Acta2.Abcc9,,2,
300,cardiac endothelial cell 2,,2,
301,multipotent progenitor cell,,2,
302,POLYDENDROCYTE,,2,
303,Intermediate Mesoderm-3-20,,2,
304,Endo,,2,
305,oligodendrocyte of primary visual cortex,,2,
306,naive T-helper cell type 1,,2,
307,lymphatic endothelial cell,,2,
308,Neuron.Slc17a7.Rgs14,,2,
309,"L5b Samd3, L5b Cdh13",,2,
310,Neuron.Gad1Gad2.Drd1-Pde1a,,2,
311,Exc L3 LINC00507 PSRC1,,2,
312,135_L3 IT ENTm,,2,
313,Melanocytes-36-3,,2,
314,"Pvalb Obox3, Pvalb Gpx3",,2,
315,Inhibitory interneurons-27-7,,2,
316,early/late glomerular visceral epithelial cell,,2,
317,proliferative nephron progenitor 2,,2,
318,Intermediate Mesoderm-3-22,,2,
319,Goblet cell,,2,
320,TEGLU10,,2,
321,Mural.Rgs5Acta2.Fos,,2,
322,MEGLU1,,2,
323,CD36+ endothelial cell,,2,
324,microvillous ionocyte-like cell,,2,
325,Inh L3-5 SST GGTLC3,,2,
326,Neural Tube-14-9,,2,
327,Neuron.Slc17a6.Tcf4,,2,
328,Micro L1-6 C1QC,,2,
329,Neural progenitor cells-9-26,,2,
330,312_L6b CTX,,2,
331,pMGE.24.NKX2-1,,2,
332,Gad1Gad2Chat_Htr3a.Chat,,2,
333,naive T cell type 1,,2,
334,Epithelial cells-6-15,,2,
335,cortical layer 2-3 excitatory neuron,,2,
336,Neuron.Slc17a7.Fibcd1-Lypd1,,2,
337,Sensory neurons-24-6,,2,
338,56_Vip HPF,,2,
339,Radial glia-7-3,,2,
340,ependymal cell,,2,
341,Non-cycling perivascular macrophages,,2,
342,Neural Tube-14-11,,2,
343,stromal 2,,2,
344,"glutamatergic neuron of primary visual area, layer 4",,2,
345,Cd34,,2,
346,Astrocyte.Gja1.Vegfa,,2,
347,Excitatory neurons-5-6,,2,
348,357_CA3-do,,2,
349,Inh L3-5 SST MAFB,,2,
350,Neuron.Slc17a6.Rora.Lrrtm2,,2,
351,Fetal premeiotic germ cell,,2,
352,Postmitotic premature neurons-10-20,,2,
353,Neuron.Slc17a7.Bcl6-Ndst4,,2,
354,Definitive erythroid lineage-22-15,,2,
355,36_Sncg,,2,
356,Mural.Rgs5Acta2.Pdgfa,,2,
357,central memory T cell,,2,
358,Melanocytes-36-5,,2,
359,282_L6 CT CTX,,2,
360,oligodendrocyte,,2,
361,27_Ntng1 HPF,,2,
362,human embryonic fibroblast/induced day type 3 dendritic cell,,2,
363,Polydendrocyte.Tnr.Bmp4- Ptgds,,2,
364,Otic vesicle,,2,
365,PP,,2,
366,L2/3 IT CTX,,2,
367,highly activated T cell,,2,
368,Neural progenitor cells-9-13,,2,
369,Astro Gja1,,2,
370,Pvalb Gpx3,,2,
371,264_L5/6 NP CTX,,2,
372,Oligo L2-6 OPALIN MAP6D1,,2,
373,165_L2/3 IT CTX,,2,
374,amacrine cell CCA9,,2,
375,70_Sst,,2,
376,Inhibitory neurons-15-7,,2,
377,Neurogenesis.Sox4.Stmn2,,2,
378,Endothelial cells-20-10,,2,
379,Exc L5-6 FEZF2 OR1L8,,2,
380,early glomerular visceral epithelial cell 2,,2,
381,Granule neurons-28-2,,2,
382,unassigned activated T call,,2,
383,Vip Chat,,2,
384,committed progenitor,,2,
385,choriocapillaris endothelial cell,,2,
386,Mesentery,,2,
387,CA2-IG-FC,,2,
388,Osteoblasts-17-7,,2,
389,Fetal Premeiotic germ cell,,2,
390,Osteoblasts-17-12,,2,
391,35_Sncg,,2,
392,cytotoxic CD8+ T cell,,2,
393,Neuron.Slc17a7.Neurod2-C1ql3,,2,
394,Exc L4-5 RORB ASCL1,,2,
395,Epithelial cells,,2,
396,296_CT SUB,,2,
397,219_L6 IT CTX,,2,
398,Pars_Tuber1A,,2,
399,Neuron.Slc17a7-Slc17a6.Tshz2-Npnt,,2,
400,tip-like endothelial cell,,2,
401,Neural progenitor cells-9-17,,2,
402,consensus molecular subtype 1,,2,
403,Exc L3-5 RORB CD24,,2,
404,267_L5/6 NP CTX,,2,
405,170_L2/3 IT CTX,,2,
406,Dorsal midbrain,,2,
407,Neuron.Slc17a6.Rora.Atp2b4,,2,
408,245_L5 PT CTX,,2,
409,Inh L1-2 SST PRRT4,,2,
410,Ependymal cell-32-10,,2,
411,Neuron.Slc17a7.Syt6-Lypd1,,2,
412,Subcommissural organ,,2,
413,Inhibitory neuron progenitors-18-18,,2,
414,Neuron.Slc17a7.Parm1.Lsamp,,2,
415,Inh L5-6 SST DNAJC14,,2,
416,Mixed region glutamatergic,,2,
417,Neuron.Slc17a6-Gad1Gad2.Asb4,,2,
418,Inhibitory neurons-15-3,,2,
419,TEINH19,,2,
420,Endothelial_Tip.Dcn.Nenf,,2,
421,HCC827,,2,
422,Nascent mesoderm,,2,
423,nCTX.100.CORT,,2,
424,Bone,,2,
425,Neuron.Slc17a7.Calb2-Adcyap1,,2,
426,SPP1+B myeloid cell,,2,
427,366_Oligo,,2,
428,Jaw and tooth progenitors-4-17,,2,
429,Mesothelium,,2,
430,"glutamatergic neuron of primary visual cortex, layer 2",,2,
431,cytotoxic T cell type 1,,2,
432,Definitive erythroid lineage,,2,
433,Cardiac muscle lineages-34-6,,2,
434,unspecified plasma cell,,2,
435,Hepatocytes-29-5,,2,
436,pMGE.125.CYP1B1,,2,
437,Fetal Neuron,,2,
438,naive CD4+ T cell,,2,
439,Inhibitory neurons-15-9,,2,
440,Jaw and tooth progenitors-4-12,,2,
441,fetal fibroblast,,2,
442,Mural.Rgs5Acta2.Kcnj8,,2,
443,prolifirating B cell,,2,
444,Immune,,2,
445,Jaw and tooth progenitors-4-11,,2,
446,Neuron.Slc17a7-Slc17a6.Nptxr-Rorb,,2,
447,Polydendrocyte.Tnr.Cyth3,,2,
448,Exc L4-5 RORB RPL31P31,,2,
449,Early mesenchyme-8-16,,2,
450,"L6 Car12, L4 Sparcl1",,2,
451,Neurogenesis.Sox4.Hist1h2al,,2,
452,Mixed region GABAergic neuron,,2,
453,"glutamatergic neuron of primary visual cortex, layer 2/3 and layer 4",,2,
454,Gja1.Htra1,,2,
455,Chondrocytes & osteoblasts-2-13,,2,
456,108_Pvalb,,2,
457,Mural.Rgs5Acta2.Lmcd1,,2,
458,Neuron.Gad1Gad2.Pvalb-Cadm1,,2,
459,Definitive erythroid lineage-22-10,,2,
460,259_L5 PT CTX,,2,
461,L6 IT Car3,,2,
462,epithelial cell of proximal tubule 1,,2,
463,Pomc/Ttr,,2,
464,Neurons6,,2,
465,endometrial glandular epithelial cell,,2,
466,mixed excitatory neuron,,2,
467,Exc L6 THEMIS SNTG2,,2,
468,364_DG,,2,
469,Ependymal cells,,2,
470,glomerular visceral epithelial cell 1,,2,
471,"L5a Batf3, L5a Fam5c",,2,
472,epicardium,,2,
473,"Sst Myh8, Sst Cdk6",,2,
474,Spinal cord,,2,
475,381_SMC-Peri,,2,
476,SST,,2,
477,Inh L5-6 SST KLHL1,,2,
478,Sst Cdk6,,2,
479,Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 1,,2,
480,Meis2,,2,
481,MuralCells,,2,
482,Inh L1-6 PVALB SCUBE3,,2,
483,106_Sst HPF,,2,
484,Gastric chief cell,,2,
485,Mid-/hindbrain and spinal cord neuron,,2,
486,L2/3_Syt10,,2,
487,Granule neurons-28,,2,
488,Midbrain-hindbrain boundary,,2,
489,Inh L1-3 VIP ZNF322P1,,2,
490,Endothelial_Stalk.Flt1.Cdkn1c,,2,
491,Oligodendro1,,2,
492,Primitive erythroid lineage-26-4,,2,
493,Telencephalon interneurons,,2,
494,Rgs16/Slc17a6,,2,
495,Diencephalon glutamatergic,,2,
496,Arx+ neuron,,2,
497,smooth muscle cell,,2,
498,Cardiac muscle lineages-34-1,,2,
499,Midbrain glutamatergic neuroblast,,2,
500,Neuron.Slc17a6.Rora.Pvalb,,2,
501,Neuronal intermediate progenitor,,2,
502,201_L5 IT CTX,,2,
503,Neuron.Slc17a7.Fezf2-Rxfp1,,2,
504,Inh L3-5 VIP HS3ST3A1,,2,
505,dendritic cell/dividing monocyte,,2,
506,Inh L6 LAMP5 ANKRD20A11P,,2,
507,gamma cell,,2,
508,Infiltrating immune,,2,
509,Connective tissue progenitors-1-4,,2,
510,Sensory neurons-24,,2,
511,Basal cell,,2,
512,Endothelial cell (endothelial to mesenchymal transition),,2,
513,nLGE.24.SP8,,2,
514,Jaw and tooth progenitors-4-10,,2,
515,EX CA,,2,
516,mid hindbrain,,2,
517,75_Sst,,2,
518,CD34+ progenitor,,2,
519,Endothelial cells-20,,2,
520,unknown 1,,2,
521,myofibroblast,,2,
522,Neuron.Gad1Gad2.Tcf7l2,,2,
523,Oligodendrocyte Progenitors-11-4,,2,
524,Jaw and tooth progenitors-4-4,,2,
525,retinal bipolar neuron CCA6,,2,
526,Lens-37-3,,2,
527,Cholinergic neurons-33-17,,2,
528,ureteric bud,,2,
529,Hepatocytes-29-2,,2,
530,Astro L1-6 FGFR3 PLCG1,,2,
531,white blood cell/other 2,,2,
532,tumor T cell,,2,
533,225_L6 IT CTX,,2,
534,IN Pvalb+,,2,
535,Neuron.Gad1Gad2.Adora2a-Pde1c,,2,
536,Exc L2-3 RORB RTKN2,,2,
537,White blood cells-31-4,,2,
538,Neuron.Slc17a7.Syt6-Fos,,2,
539,Exc L2-3 LINC00507 DSG3,,2,
540,Ependymocytes,,2,
541,Endothelial cells-20-13,,2,
542,256_L5 PT CTX,,2,
543,193_L4/5 IT CTX,,2,
544,Neuron.Gad1Gad2.Pax5,,2,
545,Sensory neurons-24-19,,2,
546,Chondroctye progenitors-21-4,,2,
547,156_L2/3 IT ENTl,,2,
548,unassigned(1),,2,
549,"Pvalb Gpx3, Pvalb Tacr3",,2,
550,Spinal cord glutamatergic,,2,
551,Exc L4-5 RORB AIM2,,2,
552,Chondrocytes & osteoblasts-2,,2,
553,Exc L5-6 FEZF2 RSAD2,,2,
554,Inhibitory neurons-15-17,,2,
555,Chondrocytes & osteoblasts-2-17,,2,
556,respiratory ciliated cell,,2,
557,Optic cup,,2,
558,"L5a Fam5c, L5b Cdh13",,2,
559,Schwann cell precursor-23-1,,2,
560,PVALB-expressing interneuron,,2,
561,Inhibitory interneurons-27-17,,2,
562,Cavity,,2,
563,PNS neurons,,2,
564,ACTE1,,2,
565,Nr5a1/Nfib,,2,
566,medial ganglionic eminence/caudal ganglionic eminence inhibitory neurons,,2,
567,Exc L2 LINC00507 GLRA3,,2,
568,proliferating neural progenitor cell 5 - vascular smooth muscle cell,,2,
569,macrophage 4,,2,
570,Stratum lacunosum/raditum of CA1,,2,
571,Radial glia-7-2,,2,
572,Micro L1-6 TYROBP CD74,,2,
573,"glutamatergic neuron of primary visual area, layer 5a and layer 6a",,2,
574,304_L6b CTX,,2,
575,Stromal cells-16-10,,2,
576,Inh L1-5 VIP PHLDB3,,2,
577,Postmitotic premature neurons-10-19,,2,
578,dendritic-like cell,,2,
579,astrocyte,,2,
580,Tmem215,,2,
581,Mural Cell+ Fibroblast,,2,
582,ACNT2,,2,
583,"L5 Hsd11b1, L4 Arf5",,2,
584,388_Micro-PVM,,2,
585,delta cell,,2,
586,"Pvalb Rspo2, Pvalb Wt1",,2,
587,"Vip Chat, Vip Cxcl14_Car4",,2,
588,Gpr50,,2,
589,ganglionic eminence neural progenitor cell,,2,
590,kidney interstitial cell 13,,2,
591,Vip Mybpc1,,2,
592,IN Pvalb+Gad1+,,2,
593,Tregs,,2,
594,Neuron.Gad1Gad2.Lgi2,,2,
595,Neuron.Gad1Gad2.Sst-Calb2,,2,
596,248_L5 PT CTX,,2,
597,ACMB,,2,
598,Neuron.Slc17a7.Fibcd1-Kitl,,2,
599,Excitatory neurons-5-25,,2,
600,Cardiac muscle lineages-34-5,,2,
601,150_L2 IT ENTm,,2,
602,Myocytes-13-12,,2,
603,macrophage 2,,2,
604,White blood cells-31,,2,
605,Cardiac muscle lineages-34-4,,2,
606,Intermediate Mesoderm-3-2,,2,
607,5_Lamp5 Lhx6,,2,
608,Myocytes-13-8,,2,
609,18_Lamp5,,2,
610,Neuron.Gad1Gad2.Synpr-Nnat,,2,
611,141_L2/3 IT PAR,,2,
612,White blood cells-31-9,,2,
613,Neural Tube-14-13,,2,
614,Neuron.Slc17a6.Oprk1,,2,
615,263_L5 PPP,,2,
616,non-inflammatory macrophage,,2,
617,unclassified cell,,2,
618,Oligodend1,,2,
619,Inh L1-6 VIP SLC7A6OS,,2,
620,L5b Samd3,,2,
621,"L4 Scnn1a, L4 Arf5",,2,
622,239_L5 PT CTX,,2,
623,Neural progenitor cells-9-1,,2,
624,Sensory neurons-24-5,,2,
625,275_NP PPP,,2,
626,astrocyte 14,,2,
627,myeloid progenitor,,2,
628,Schwann cell precursor-23-18,,2,
629,"Vip Cxcl14_Car4, Vip Chat",,2,
630,Neuron.Gad1Gad2.Adora2a-Otof,,2,
631,Neuron.Slc17a6.Rora.Nrp2,,2,
632,Mural.Rgs5Acta2.Col3a1,,2,
633,decidual natural killer cell (dNK3),,2,
634,Intermediate Mesoderm-3-19,,2,
635,Spinal cord glycinergic,,2,
636,Fetal mesenchymal progenitor,,2,
637,Neuron.Gad1Gad2.Fibcd1,,2,
638,Inh L5-6 SST PAWR,,2,
639,Inhibitory neurons-15-18,,2,
640,GABA Neu,,2,
641,Epithelial cells-6-20,,2,
642,Chondroctye progenitors-21-6,,2,
643,Inhibitory neurons-15-16,,2,
644,Stromal cells-16-4,,2,
645,vein endothelial cell 1,,2,
646,parietal epithelial cell 3,,2,
647,fibroblast type 1,,2,
648,White blood cells-31-8,,2,
649,101_Sst,,2,
650,Premature oligodendrocyte-19-16,,2,
651,Schwann cell precursor-23-12,,2,
652,Endothelial cells,,2,
653,Sensory neurons-24-17,,2,
654,L4,,2,
655,nLGE.24.CFC1,,2,
656,Epithelial cells-6-12,,2,
657,222_L6 IT CTX,,2,
658,DC1,,2,
659,Lateral nasal pit,,2,
660,Myocytes-13-14,,2,
661,plasma IgM expressing cell,,2,
662,181_L4 IT CTX,,2,
663,Neuron.Slc17a7.Nptxr-Ndst4,,2,
664,Pituitary neuroendocrine,,2,
665,Neuron.Slc17a6.Rora.C1ql2,,2,
666,resting basal_P28Adult,,2,
667,Neuron.Gad1Gad2-Th.Adora2a-Th,,2,
668,Vascular and leptomeningeal cells,,2,
669,Endothelial cells-20-16,,2,
670,Neuron.Gad1Gad2-Th.Trh,,2,
671,Midbrain,,2,
672,Inhibitory neuron progenitors-18-6,,2,
673,Radial glia-7-5,,2,
674,Myocytes-13-18,,2,
675,gamma-delta T cell/mucosal invariant T cell,,2,
676,decidual perivascular cell (dP2),,2,
677,Cd4+ T cell,,2,
678,Anteromedial cerebral pole,,2,
679,Excitatory neurons,,2,
680,Cholinergic neurons-33-14,,2,
681,Neural progenitor cells-9-4,,2,
682,Notochord cells-30-6,,2,
683,"Vip Chat, Vip Gpc3",,2,
684,blood vessel cell,,2,
685,Myocytes-13-11,,2,
686,103_Sst HPF,,2,
687,99_Sst,,2,
688,Granule neurons-28-10,,2,
689,Inh L1 LAMP5 PVRL2,,2,
690,transformed epithelial cell,,2,
691,Gad1Gad2_Htr3a.Cpne5,,2,
692,Melanocytes-36-9,,2,
693,"Sst Tacstd2, Sst Cbln4",,2,
694,Head mesenchyme,,2,
695,Chondrocytes & osteoblasts-2-12,,2,
696,Gja1.Gfap,,2,
697,T (gd),,2,
698,Neuron.Th.Cbln1,,2,
699,nMGE.24.LHX8,,2,
700,Exc L2 LINC00507 ATP7B,,2,
701,Inhibitory neuron progenitors-18-1,,2,
702,L6 CT,,2,
703,Neuron.Slc17a6.Cck,,2,
704,delta,,2,
705,Oligodendrocyte.Trf.Cldn11,,2,
706,MEINH2,,2,
707,Neuron.Gad1Gad2.Grem,,2,
708,Oligodendrocyte Progenitors-11-8,,2,
709,Epithelial cells-6-4,,2,
710,Sst_Nr2f2,,2,
711,Connective tissue progenitors-1-3,,2,
712,L5 Chrna6,,2,
713,L5 ET,,2,
714,"L2/3 Otof, L2 Ngb",,2,
715,"Vip Cxcl14_Car4, Ndnf Cxcl14",,2,
716,Intercalated cell,,2,
717,Chondroctye progenitors-21-1,,2,
718,Excitatory neurons-5-22,,2,
719,Neuron.Gad1Gad2.Pvalb-Nefm,,2,
720,CR,,2,
721,Radial glia-7-14,,2,
722,Exc L3-4 RORB RPS3P6,,2,
723,CD4+ conventional T cell,,2,
724,Spinal cord inhibitory neurons,,2,
725,Pancreas exocrine cell,,2,
726,Arachnoid barrier cells,,2,
727,137_L3 IT ENTm,,2,
728,Neuron.Gad1Gad2.Chodl,,2,
729,Stromal cells-16-11,,2,
730,SA-b,,2,
731,Stromal cells,,2,
732,cortical layer 5-6 excitatory neuron,,2,
733,Cajal-Retzius,,2,
734,Neuron.Slc17a7.Bcl6-Fos,,2,
735,7_Lamp5 Lhx6,,2,
736,macrophage type 2,,2,
737,17_Lamp5,,2,
738,Neuron.Slc17a7.Bcl6-Pvalb,,2,
739,Inh L2 VIP SLC6A16,,2,
740,Ependymal cell-32-1,,2,
741,"Cd34, Ndnf Cxcl14",,2,
742,Mixed region and neurotransmitter,,2,
743,Ependymocy2,,2,
744,Sensory neurons-24-2,,2,
745,fibroblast of cardiac tissue 3,,2,
746,Inh L3-5 VIP IGDCC3,,2,
747,unassigned resting T cell,,2,
748,Neuron.Gad1Gad2-Slc17a8.Synpr-Sncg-Yjefn3,,2,
749,glomerular visceral epithelial cell 6,,2,
750,SST-expressing interneuron,,2,
751,Inhibitory neurons-15-6,,2,
752,Limb mesenchyme-25-9,,2,
753,T-helper cell including regulatory T cell population,,2,
754,Thymus,,2,
755,Oligodendrocyte.Tfr.Ndrg2,,2,
756,PVMMicro,,2,
757,Neuron.Gad1Gad2_Sst.Grm1,,2,
758,Fetal acinar cell,,2,
759,Cardiac mesoderm,,2,
760,Hindbrain neurons,,2,
761,Cholinergic neurons-33-9,,2,
762,dividing macrophage,,2,
763,erythroid cell type 2,,2,
764,proliferative nephron progenitor 1,,2,
765,natural killer cell/CD8+ cytotoxic T cell,,2,
766,Ependymal cell-32-14,,2,
767,Premature oligodendrocyte-19-7,,2,
768,pericyte type 2,,2,
769,naive T cell type 3,,2,
770,Neural progenitor cells-9-27,,2,
771,175_IT HATA,,2,
772,Early mesenchyme-8-15,,2,
773,Chondrocytes & osteoblasts-2-4,,2,
774,Endothelial_Stalk.Flt1.Lrg1,,2,
775,Definitive erythroid lineage-22-7,,2,
776,Granule neurons-28-12,,2,
777,CD16-positive natural killer cell (NK CD16+),,2,
778,L6b Trh,,2,
779,338_CA1,,2,
780,Early mesenchyme-8-11,,2,
781,306_L6b CTX,,2,
782,Schwann cell precursor-23-6,,2,
783,Inh L2-4 PVALB C8orf4,,2,
784,epsilon,,2,
785,Exc L5 FEZF2 NREP-AS1,,2,
786,38_Sncg,,2,
787,Telencephalon inhibitory interneurons,,2,
788,activated dendritic cell,,2,
789,Oligodendrocyte.Trf.Plin3,,2,
790,Polydendrocyte.Tnr.Pdgfa-Pik3r3,,2,
791,CB CD34+,,2,
792,"Vip Cxcl14_Car4, Vip Gpc3",,2,
793,Fetal chondrocyte,,2,
794,CD4+ naive T cell,,2,
795,central venous liver sinusoidal endothelial cell,,2,
796,Excitatory neurons-5-17,,2,
797,169_L2/3 IT CTX,,2,
798,Ventricle cardiomyocyte,,2,
799,Neuron.Slc17a7-Slc17a6.Tshz2-Cabp7,,2,
800,Endothelial cells-20-9,,2,
801,Leydig cell and peritubular myoid cell,,2,
802,92_Sst,,2,
803,pericyte type 1,,2,
804,"glutamatergic neuron of primary visual area, layer 6b",,2,
805,Dorsal hindbrain and spinal cord,,2,
806,Premature oligodendrocyte-19-8,,2,
807,"Pvalb Rspo2, Pvalb Gpx3",,2,
808,Stromal cells-16,,2,
809,Oligodendrocyte Progenitors-11-17,,2,
810,Inh L1-6 LAMP5 CA13,,2,
811,Chondrocytes & osteoblasts-2-11,,2,
812,Gastric endocrine cell,,2,
813,hypermutation B cell,,2,
814,Astrocyte.Gja1,,2,
815,lateral ganglionic eminence neuron,,2,
816,Brain,,2,
817,379_Endo,,2,
818,172_L2/3 IT ProS,,2,
819,endothelial cell of primary visual cortex,,2,
820,Epithelial cells-6-29,,2,
821,Endothelial_Tip.Dcn.Il33,,2,
822,60_Vip Igfbp6,,2,
823,nCTX.125.SST,,2,
824,respiratory horizontal basal cell,,2,
825,Megakaryocytes,,2,
826,Mural.Acta2Rgs5.Rgs5,,2,
827,Cortex_L1,,2,
828,Neuron.Gad1Gad2.Ttn,,2,
829,Epithelial cells-6-2,,2,
830,360_CA2-IG-FC,,2,
831,Neuron.Slc17a6.Rora.Cbln2,,2,
832,retinal rod cell CCA1,,2,
833,Osteoblasts,,2,
834,ductal,,2,
835,cortical excitatory neuron,,2,
836,310_L6b RHP,,2,
837,T-helper cell/regulatory T cell,,2,
838,differentiated_P28Adult,,2,
839,renal vesicle; comma-shaped body A,,2,
840,Neuron.Gad1Gad2.Tac1,,2,
841,Inhibitory neuron progenitors-18-15,,2,
842,"Pvalb Obox3, Pvalb Wt1",,2,
843,Inhibitory neurons-15-19,,2,
844,Postmitotic premature neurons-10-9,,2,
845,Inh L2-5 VIP BSPRY,,2,
846,Inh L1 LAMP5 RAB11FIP1,,2,
847,Anterior primitive streak,,2,
848,"glutamatergic neuron of primary visual area, layer 4 and layer 6",,2,
849,280_L6 CT CTX,,2,
850,Micro Ctss,,2,
851,Inh L1 VIP TNFAIP8L3,,2,
852,conventional dendritic cell type 2,,2,
853,Neuron.Gad1Gad2.Pvalb-Nefh,,2,
854,Oligodendrocyte.Tnf.Igsf8,,2,
855,Endothelial cells-20-15,,2,
856,Intermediate Mesoderm-3-5,,2,
857,231_L6 IT CTX,,2,
858,Neuron.Slc17a7.Bcl6-Cbln1,,2,
859,Neuron.Slc17a7.Tac2.Htr2c,,2,
860,Chondroctye progenitors-21,,2,
861,240_L5 PT CTX,,2,
862,Inh L1-4 LAMP5 DUSP4,,2,
863,stromal 1,,2,
864,L3 IT ENT,,2,
865,White blood cells-31-3,,2,
866,Jaw and tooth progenitors-4-2,,2,
867,Intermediate Mesoderm-3-6,,2,
868,dopaminergic neuron,,2,
869,Inhibitory neuron progenitors-18-10,,2,
870,Exc L6 FEZF2 CPZ,,2,
871,connecting nephron tubules/principal cell - proximal ureteric bud,,2,
872,Endothelial_Tip.Dcn.Nnat,,2,
873,L5 PT CTX,,2,
874,NeuB,,2,
875,Neurogenesis.Sox4.Notum,,2,
876,Melanocytes-36-8,,2,
877,Exc L5-6 FEZF2 ANKRD20A1,,2,
878,Myocytes-13-20,,2,
879,VLMC L1-3 CYP1B1,,2,
880,Peripheral sensory non-peptidergic neurons,,2,
881,Forebrain glutamatergic,,2,
882,respiratory secretory cell,,2,
883,Stromal cells-16-2,,2,
884,Jaw and tooth progenitors-4-5,,2,
885,Fibro,,2,
886,L2/3 IT PPP,,2,
887,21_Sncg,,2,
888,42_Vip,,2,
889,fibroblast of cardiac tissue 5,,2,
890,decidual macrophage (dM1),,2,
891,Postmitotic premature neurons-10-2,,2,
892,Isthmic organizer cells-12-16,,2,
893,93_Sst,,2,
894,313_L6b CTX,,2,
895,Neuron.Gad1Gad2.Synpr-Dpy19l1,,2,
896,Excitatory neurons-5-20,,2,
897,Neuron.Gad1Gad2.Igfbp4.Rgs4,,2,
898,respiratory system blood vessel,,2,
899,"Pvalb Wt1, Pvalb Tacr3",,2,
900,160_L2/3 IT ENTl,,2,
901,Cortical intermediate progenitor,,2,
902,Cortex_L4,,2,
903,Exc L5 FEZF2 DYRK2,,2,
904,Inhibitory neuron progenitors-18-9,,2,
905,Ndnf Car4,,2,
906,decidual macrophage (dM3),,2,
907,152_L2/3 IT ENTl,,2,
908,Epithelial cells-6-7,,2,
909,Oligodendrocyte Progenitors-11,,2,
910,Sensory neurons-24-13,,2,
911,"glutamatergic neuron of primary visual area, layer 5 and layer 6a",,2,
912,dividing epithelial cell,,2,
913,Neuron.Slc17a7.Bcl6-Npnt,,2,
914,Exc L6 FEZF2 TBC1D26,,2,
915,Exc L6 FEZF2 KLK7,,2,
916,Exc L5-6 THEMIS TMEM233,,2,
917,GCL-E,,2,
918,Jaw and tooth progenitors-4-19,,2,
919,central venous hepatic sinusoidal endothelial cell,,2,
920,Inhibitory neuron progenitors-18-2,,2,
921,Oligodendrocytes,,2,
922,Oligodendrocyte.Tnf.Kif5b,,2,
923,kidney interstitial cell 3,,2,
924,fetal endothelial cell (Endo f),,2,
925,Schwann cell precursor-23-8,,2,
926,"Pvalb Tacr3, Pvalb Gpx3",,2,
927,Inhibitory neuron progenitors-18,,2,
928,b2_tanycytes1,,2,
929,L6a Syt17,,2,
930,neuron,,2,
931,Exc L2-3 RORB PTPN3,,2,
932,Submandibular gland,,2,
933,medial/distal nephron progenitor 1,,2,
934,monocyte progenitor,,2,
935,TEGLU2,,2,
936,Exc L6 THEMIS EGR3,,2,
937,Inh L1 LAMP5 BMP2,,2,
938,glomerular visceral epithelial cell 3,,2,
