journal_name,journal_name_full_name
Matern Child Health J,Maternal and child health journal
Int J Immunogenet,International journal of immunogenetics
Eur Arch Paediatr Dent,European archives of paediatric dentistry
medRxiv,medRxiv
NPJ Vaccines,NPJ vaccines
Int Urogynecol J,International urogynecology journal
Future Med Chem,Future medicinal chemistry
Medicine (Baltimore),Medicine
N Biotechnol,New biotechnology
J Microbiol Immunol Infect,"Journal of microbiology, immunology, and infection"
Musculoskelet Sci Pract,Musculoskeletal science & practice
BMC Pediatr,BMC pediatrics
Mult Scler Relat Disord,Multiple sclerosis and related disorders
mSystems,mSystems
Biomaterials,Biomaterials
Curr Issues Mol Biol,Current issues in molecular biology
Nat Rev Urol,Nature reviews. Urology
AIDS Res Ther,AIDS research and therapy
Kaohsiung J Med Sci,The Kaohsiung journal of medical sciences
Mol Phylogenet Evol,Molecular phylogenetics and evolution
Mol Pharmacol,Molecular pharmacology
Mol Pharm,Molecular pharmaceutics
J Health Serv Res Policy,Journal of health services research & policy
Diabetes Care,Diabetes care
Cell Biol Int,Cell biology international
J Adv Res,Journal of advanced research
Am J Pathol,The American journal of pathology
Indian J Community Med,Indian journal of community medicine
Horm Metab Res,Hormone and metabolic research
Int J Nanomedicine,International journal of nanomedicine
Health Soc Care Community,Health & social care in the community
Front Bioeng Biotechnol,Frontiers in bioengineering and biotechnology
J Am Coll Surg,Journal of the American College of Surgeons
Mol Immunol,Molecular immunology
Mol Imaging,Molecular imaging
Lancet Public Health,The Lancet. Public health
Mol Endocrinol,Molecular endocrinology
Mol Diagn Ther,Molecular diagnosis & therapy
BMC Plant Biol,BMC plant biology
Acta Radiol,Acta radiologica
Ir J Med Sci,Irish journal of medical science
Eur Urol Oncol,European urology oncology
Biomark Res,Biomarker research
Anal Chem,Analytical chemistry
JAMA Pediatr,JAMA pediatrics
Ren Fail,Renal failure
Menopause,Menopause
RMD Open,RMD open
J Clin Neurosci,Journal of clinical neuroscience
J Prim Care Community Health,Journal of primary care & community health
Emerg Microbes Infect,Emerging microbes & infections
Curr Mol Med,Current molecular medicine
Lancet Digit Health,The Lancet. Digital health
Mol Biol Evol,Molecular biology and evolution
Neurobiol Dis,Neurobiology of disease
Afr J Reprod Health,African journal of reproductive health
J Acoust Soc Am,The Journal of the Acoustical Society of America
IET Syst Biol,IET systems biology
Biomed Res,Biomedical research
MMWR Surveill Summ,Morbidity and mortality weekly report. Surveillance summaries
Mitochondrion,Mitochondrion
Minerva Pediatr,Minerva pediatrica
Mil Med,Military medicine
J Pak Med Assoc,JPMA. The Journal of the Pakistan Medical Association
Micron,Micron
Microbiome,Microbiome
Trends Genet,Trends in genetics
Am J Psychiatry,The American journal of psychiatry
Acta Cytol,Acta cytologica
Free Radic Biol Med,Free radical biology & medicine
Am J Hum Genet,American journal of human genetics
Metallomics,Metallomics
Metab Brain Dis,Metabolic brain disease
Meta Gene,Meta gene
Semin Radiat Oncol,Seminars in radiation oncology
Hepatol Commun,Hepatology communications
Biol Psychiatry Cogn Neurosci Neuroimaging,Biological psychiatry. Cognitive neuroscience and neuroimaging
Breast Cancer Res,Breast cancer research
Diabet Med,Diabetic medicine
Acta Dermatovenerol Croat,Acta dermatovenerologica Croatica
J Investig Med High Impact Case Rep,Journal of investigative medicine high impact case reports
Curr Res Transl Med,Current research in translational medicine
Cephalalgia,Cephalalgia
J Clin Res Pediatr Endocrinol,Journal of clinical research in pediatric endocrinology
Int J Neurosci,The International journal of neuroscience
Intensive Care Med,Intensive care medicine
J Am Board Fam Med,Journal of the American Board of Family Medicine
Artif Intell Med,Artificial intelligence in medicine
Arch Public Health,Archives of public health
Ther Adv Med Oncol,Therapeutic advances in medical oncology
Arch Toxicol,Archives of toxicology
Alzheimers Dement,Alzheimer's & dementia
Ophthalmic Plast Reconstr Surg,Ophthalmic plastic and reconstructive surgery
J Glob Antimicrob Resist,Journal of global antimicrobial resistance
J Obstet Gynaecol Res,The journal of obstetrics and gynaecology research
J Healthc Qual,Journal for healthcare quality
J Nutr Health Aging,"The journal of nutrition, health & aging"
Transl Lung Cancer Res,Translational lung cancer research
Eur J Prev Cardiol,European journal of preventive cardiology
Endocr Connect,Endocrine connections
Int Immunol,International immunology
J Extracell Vesicles,Journal of extracellular vesicles
Med Teach,Medical teacher
Drug Alcohol Depend,Drug and alcohol dependence
Int J Hyg Environ Health,International journal of hygiene and environmental health
EPMA J,The EPMA journal
J Korean Med Sci,Journal of Korean medical science
Cytotherapy,Cytotherapy
J Breast Cancer,Journal of breast cancer
J Pediatr Nurs,Journal of pediatric nursing
Curr Rheumatol Rep,Current rheumatology reports
Perspect Psychiatr Care,Perspectives in psychiatric care
J Am Acad Child Adolesc Psychiatry,Journal of the American Academy of Child and Adolescent Psychiatry
J Psychiatry Neurosci,Journal of psychiatry & neuroscience
Med Princ Pract,Medical principles and practice
Esophagus,Esophagus
Med Mal Infect,Medecine et maladies infectieuses
Med J Aust,The Medical journal of Australia
J Pineal Res,Journal of pineal research
Vascular,Vascular
Sci Prog,Science progress
Int J Sports Med,International journal of sports medicine
J Pers Med,Journal of personalized medicine
Med Eng Phys,Medical engineering & physics
Med Dosim,Medical dosimetry
Eur J Neurol,European journal of neurology
Med Decis Making,Medical decision making
Health Promot Pract,Health promotion practice
Med Care Res Rev,Medical care research and review
Aktuelle Urol,Aktuelle Urologie
mBio,mBio
Matrix Biol,Matrix biology
Int Orthop,International orthopaedics
BMC Ophthalmol,BMC ophthalmology
Spine Deform,Spine deformity
BMC Anesthesiol,BMC anesthesiology
Drug Des Devel Ther,"Drug design, development and therapy"
Matern Child Nutr,Maternal & child nutrition
Mater Sci Eng C Mater Biol Appl,"Materials science & engineering. C, Materials for biological applications"
Malawi Med J,Malawi medical journal
Br J Dermatol,The British journal of dermatology
Microbiol Spectr,Microbiology spectrum
Front Pediatr,Frontiers in pediatrics
Magn Reson Imaging Clin N Am,Magnetic resonance imaging clinics of North America
Discov Med,Discovery medicine
Lupus,Lupus
J Nutr Sci,Journal of nutritional science
LGBT Health,LGBT health
Leukemia,Leukemia
Intensive Crit Care Nurs,Intensive & critical care nursing
Learn Mem,Learning & memory
Eur J Public Health,European journal of public health
Lancet Psychiatry,The lancet. Psychiatry
J Biomed Sci,Journal of biomedical science
J Foot Ankle Surg,The Journal of foot and ankle surgery
Life Sci Alliance,Life science alliance
BMC Nephrol,BMC nephrology
Cell Stress Chaperones,Cell stress & chaperones
Lab Invest,Laboratory investigation; a journal of technical methods and pathology
Blood Adv,Blood advances
Int J Paediatr Dent,International journal of paediatric dentistry
Korean J Radiol,Korean journal of radiology
Int J Clin Oncol,International journal of clinical oncology
Forensic Sci Med Pathol,"Forensic science, medicine, and pathology"
ANZ J Surg,ANZ journal of surgery
Eval Health Prof,Evaluation & the health professions
J Pediatr Orthop B,Journal of pediatric orthopedics. Part B
Free Radic Res,Free radical research
Acta Neurol Scand,Acta neurologica Scandinavica
BMJ Open Diabetes Res Care,BMJ open diabetes research & care
Biochim Biophys Acta Gen Subj,Biochimica et biophysica acta. General subjects
Dis Model Mech,Disease models & mechanisms
J Autoimmun,Journal of autoimmunity
JAMA Otolaryngol Head Neck Surg,JAMA otolaryngology-- head & neck surgery
Medicina (Kaunas),Medicina
Gland Surg,Gland surgery
J Crohns Colitis,Journal of Crohn&  & colitis
JAMA,JAMA
JACC Clin Electrophysiol,JACC. Clinical electrophysiology
Pharmacogenet Genomics,Pharmacogenetics and genomics
Exp Eye Res,Experimental eye research
J Vis Commun Med,Journal of visual communication in medicine
Curr Pharm Des,Current pharmaceutical design
Cent Eur J Public Health,Central European journal of public health
J Ultrasound Med,Journal of ultrasound in medicine
J Travel Med,Journal of travel medicine
MedEdPORTAL,MedEdPORTAL
MedComm (2020),MedComm
Chembiochem,Chembiochem
J Neurovirol,Journal of neurovirology
Biochem Genet,Biochemical genetics
Med Sci (Paris),Medecine sciences
Med Sci (Basel),Medical sciences
Med Sante Trop,Medecine et sante tropicales
BMC Cardiovasc Disord,BMC cardiovascular disorders
Cancer Radiother,Cancer radiotherapie
Med J Malaysia,The Medical journal of Malaysia
Med Image Comput Comput Assist Interv,Medical image computing and computer-assisted intervention
Dentomaxillofac Radiol,Dento maxillo facial radiology
Tomography,Tomography
J Transcult Nurs,Journal of transcultural nursing
Cancer Cell,Cancer cell
Adv Clin Exp Med,Advances in clinical and experimental medicine
J Thromb Thrombolysis,Journal of thrombosis and thrombolysis
Nurs Forum,Nursing forum
Int J Chron Obstruct Pulmon Dis,International journal of chronic obstructive pulmonary disease
Cardiovasc Res,Cardiovascular research
Genes Dev,Genes & development
J Surg Educ,Journal of surgical education
J Steroid Biochem Mol Biol,The Journal of steroid biochemistry and molecular biology
Clin Breast Cancer,Clinical breast cancer
Life (Basel),Life
J Sports Sci,Journal of sports sciences
J Small Anim Pract,The Journal of small animal practice
J Sci Food Agric,Journal of the science of food and agriculture
J Sch Nurs,The Journal of school nursing
J Safety Res,Journal of safety research
Curr Cardiol Rep,Current cardiology reports
J Virol,Journal of virology
Magy Seb,Magyar sebeszet
J Refract Surg,Journal of refractive surgery
J Radiol Prot,Journal of radiological protection
J Radiol Case Rep,Journal of radiology case reports
J Radiat Res,Journal of radiation research
J R Coll Physicians Edinb,The journal of the Royal College of Physicians of Edinburgh
J Public Health Manag Pract,Journal of public health management and practice
Small Methods,Small methods
MAGMA,Magma
J Anthropol Sci,Journal of anthropological sciences
J Prev Alzheimers Dis,The journal of prevention of Alzheimer&  disease
Nucleosides Nucleotides Nucleic Acids,"Nucleosides, nucleotides & nucleic acids"
J Pharm Pract,Journal of pharmacy practice
J Perinatol,Journal of perinatology
J Pediatric Infect Dis Soc,Journal of the Pediatric Infectious Diseases Society
BMC Fam Pract,BMC family practice
J Biosci,Journal of biosciences
Am J Speech Lang Pathol,American journal of speech-language pathology
Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,Lin chuang er bi yan hou tou jing wai ke za zhi
J Pediatr Oncol Nurs,Journal of pediatric oncology nursing
J Pediatr Endocrinol Metab,Journal of pediatric endocrinology & metabolism
J Pediatr,The Journal of pediatrics
Cell Death Differ,Cell death and differentiation
Am J Clin Oncol,American journal of clinical oncology
World J Clin Cases,World journal of clinical cases
Leg Med (Tokyo),Legal medicine
Lasers Surg Med,Lasers in surgery and medicine
J Pain,The journal of pain
Laryngorhinootologie,Laryngo- rhino- otologie
Klin Onkol,Klinicka onkologie
Klin Monbl Augenheilkd,Klinische Monatsblatter fur Augenheilkunde
Kidney360,Kidney360
J Otolaryngol Head Neck Surg,Journal of otolaryngology - head & neck surgery
J Orthop Trauma,Journal of orthopaedic trauma
Geriatr Nurs,Geriatric nursing
Kathmandu Univ Med J (KUMJ),Kathmandu University medical journal
J Orthop Sports Phys Ther,The Journal of orthopaedic and sports physical therapy
J Orthop Sci,Journal of orthopaedic science
Kardiologiia,Kardiologiia
Jt Comm J Qual Patient Saf,Joint Commission journal on quality and patient safety
BMJ Glob Health,BMJ global health
Lymphology,Lymphology
J Oncol Pract,Journal of oncology practice
Lancet Neurol,The Lancet. Neurology
Jpn J Radiol,Japanese journal of radiology
J Occup Environ Med,Journal of occupational and environmental medicine
J Nutr Educ Behav,Journal of nutrition education and behavior
Jpn J Nurs Sci,Japan journal of nursing science
BMC Pulm Med,BMC pulmonary medicine
J Nucl Med,Journal of nuclear medicine
Jpn J Clin Oncol,Japanese journal of clinical oncology
Community Dent Health,Community dental health
Am J Med Genet A,American journal of medical genetics. Part A
J Neurosurg Spine,Journal of neurosurgery. Spine
J Neurosurg Sci,Journal of neurosurgical sciences
J Prosthodont,Journal of prosthodontics
JNMA J Nepal Med Assoc,JNMA; journal of the Nepal Medical Association
JMIR Form Res,JMIR formative research
Int J Biochem Cell Biol,The international journal of biochemistry & cell biology
JBJS Case Connect,JBJS case connector
Antimicrob Agents Chemother,Antimicrobial agents and chemotherapy
Blood,Blood
JB JS Open Access,JB & JS open access
J Xray Sci Technol,Journal of X-ray science and technology
J Womens Health (Larchmt),Journal of women&  health
J Undergrad Neurosci Educ,Journal of undergraduate neuroscience education
J Surg Orthop Adv,Journal of surgical orthopaedic advances
J Recept Signal Transduct Res,Journal of receptor and signal transduction research
J Parasit Dis,Journal of parasitic diseases
J Orthop Surg (Hong Kong),Journal of orthopaedic surgery
J Oral Biol Craniofac Res,Journal of oral biology and craniofacial research
J Opioid Manag,Journal of opioid management
J Open Source Softw,Journal of open source software
J Nutr Sci Vitaminol (Tokyo),Journal of nutritional science and vitaminology
J Neurooncol,Journal of neuro-oncology
Inflammation,Inflammation
J Neurol Surg B Skull Base,"Journal of neurological surgery. Part B, Skull base"
J Neurol Surg A Cent Eur Neurosurg,"Journal of neurological surgery. Part A, Central European neurosurgery"
Epidemiol Infect,Epidemiology and infection
Biochem Pharmacol,Biochemical pharmacology
Nat Rev Rheumatol,Nature reviews. Rheumatology
Geroscience,GeroScience
J Neuroinflammation,Journal of neuroinflammation
J Neuroimmune Pharmacol,Journal of neuroimmune pharmacology
Am J Public Health,American journal of public health
Clin Exp Dermatol,Clinical and experimental dermatology
Diagn Microbiol Infect Dis,Diagnostic microbiology and infectious disease
J Craniovertebr Junction Spine,Journal of craniovertebral junction & spine
Eur J Epidemiol,European journal of epidemiology
Am J Med Genet B Neuropsychiatr Genet,"American journal of medical genetics. Part B, Neuropsychiatric genetics"
Am J Med,The American journal of medicine
J Microsc,Journal of microscopy
Eur J Heart Fail,European journal of heart failure
Clin Pharmacol Ther,Clinical pharmacology and therapeutics
Tzu Chi Med J,Tzu chi medical journal
J Med Libr Assoc,Journal of the Medical Library Association
J Formos Med Assoc,Journal of the Formosan Medical Association
J Med Genet,Journal of medical genetics
J Med Food,Journal of medicinal food
J Med Chem,Journal of medicinal chemistry
Biotechniques,BioTechniques
Curr Eye Res,Current eye research
J Mech Behav Biomed Mater,Journal of the mechanical behavior of biomedical materials
Am J Health Promot,American journal of health promotion
Circ Arrhythm Electrophysiol,Circulation. Arrhythmia and electrophysiology
Headache,Headache
J Lipid Res,Journal of lipid research
J Laryngol Otol,The Journal of laryngology and otology
Contrast Media Mol Imaging,Contrast media & molecular imaging
J Investig Med,Journal of investigative medicine
Cad Saude Publica,Cadernos de saude publica
J Invasive Cardiol,The Journal of invasive cardiology
J Interprof Care,Journal of interprofessional care
J Integr Plant Biol,Journal of integrative plant biology
J Int Neuropsychol Soc,Journal of the International Neuropsychological Society
Cytogenet Genome Res,Cytogenetic and genome research
Cell Biol Toxicol,Cell biology and toxicology
J Infect Public Health,Journal of infection and public health
Cytopathology,Cytopathology
Aust N Z J Psychiatry,The Australian and New Zealand journal of psychiatry
J Neural Transm (Vienna),Journal of neural transmission
J Negat Results Biomed,Journal of negative results in biomedicine
J Natl Med Assoc,Journal of the National Medical Association
J Natl Compr Canc Netw,Journal of the National Comprehensive Cancer Network
Maturitas,Maturitas
J Med Virol,Journal of medical virology
J Natl Cancer Inst,Journal of the National Cancer Institute
Pharmacol Rep,Pharmacological reports
J Drug Target,Journal of drug targeting
EMBO Rep,EMBO reports
BioData Min,BioData mining
J Clin Transl Sci,Journal of clinical and translational science
J Immigr Minor Health,Journal of immigrant and minority health
J Hum Nutr Diet,Journal of human nutrition and dietetics
J Hum Evol,Journal of human evolution
Chin J Integr Med,Chinese journal of integrative medicine
J Hosp Med,Journal of hospital medicine
Clin Oral Investig,Clinical oral investigations
Clin Chim Acta,Clinica chimica acta; international journal of clinical chemistry
J Urban Health,Journal of urban health
Sci Diabetes Self Manag Care,The science of diabetes self-management and care
Cell Reprogram,Cellular reprogramming
J Biomed Opt,Journal of biomedical optics
J Health Popul Nutr,"Journal of health, population, and nutrition"
Am J Case Rep,The American journal of case reports
Immunity,Immunity
J Health Pollut,Journal of health & pollution
J Health Commun,Journal of health communication
J Glaucoma,Journal of glaucoma
J Gerontol Soc Work,Journal of gerontological social work
BMC Ecol Evol,BMC ecology and evolution
J Geriatr Oncol,Journal of geriatric oncology
Purinergic Signal,Purinergic signalling
J Gastroenterol,Journal of gastroenterology
Front Psychiatry,Frontiers in psychiatry
J Forensic Sci,Journal of forensic sciences
J Forensic Leg Med,Journal of forensic and legal medicine
J Foot Ankle Res,Journal of foot and ankle research
Ir Vet J,Irish veterinary journal
Am J Phys Anthropol,American journal of physical anthropology
Ann Acad Med Singap,"Annals of the Academy of Medicine, Singapore"
J Wound Ostomy Continence Nurs,"Journal of wound, ostomy, and continence nursing"
J Nanosci Nanotechnol,Journal of nanoscience and nanotechnology
Nutr Diet,Nutrition & dietetics
J Mol Med (Berl),Journal of molecular medicine
J Gerontol A Biol Sci Med Sci,"The journals of gerontology. Series A, Biological sciences and medical sciences"
Clin Chem,Clinical chemistry
J Interferon Cytokine Res,Journal of interferon & cytokine research
J Miss State Med Assoc,Journal of the Mississippi State Medical Association
J Eur Acad Dermatol Venereol,Journal of the European Academy of Dermatology and Venereology
J Ethnopharmacol,Journal of ethnopharmacology
J Ethnobiol Ethnomed,Journal of ethnobiology and ethnomedicine
J Ethn Subst Abuse,Journal of ethnicity in substance abuse
J Med Vasc,Journal de medecine vasculaire
Anal Chim Acta,Analytica chimica acta
J Med Ultrason (2001),Journal of medical ultrasonics
J Endocrinol,The Journal of endocrinology
J Thromb Haemost,Journal of thrombosis and haemostasis
J Insur Med,Journal of insurance medicine
Rofo,RoFo
J Infect Dev Ctries,Journal of infection in developing countries
J Huazhong Univ Sci Technolog Med Sci,Journal of Huazhong University of Science and Technology. Medical sciences
J Diabetes,Journal of diabetes
J Dermatolog Treat,The Journal of dermatological treatment
J Forensic Odontostomatol,The Journal of forensic odonto-stomatology
J Dent Res,Journal of dental research
J Am Soc Mass Spectrom,Journal of the American Society for Mass Spectrometry
J Cutan Pathol,Journal of cutaneous pathology
J Cutan Med Surg,Journal of cutaneous medicine and surgery
J Diet Suppl,Journal of dietary supplements
J Diabetes Sci Technol,Journal of diabetes science and technology
J Dent Hyg,Journal of dental hygiene
J Craniomaxillofac Surg,Journal of cranio-maxillo-facial surgery
J Cosmet Sci,Journal of cosmetic science
J Contin Educ Health Prof,The Journal of continuing education in the health professions
Environ Sci Technol,Environmental science & technology
J Headache Pain,The journal of headache and pain
Auton Neurosci,Autonomic neuroscience
J Complement Integr Med,Journal of complementary & integrative medicine
J Chiropr Humanit,Journal of chiropractic humanities
J Community Health,Journal of community health
J Coll Physicians Surg Pak,Journal of the College of Physicians and Surgeons--Pakistan
J Cogn Neurosci,Journal of cognitive neuroscience
J Clin Transl Res,Journal of clinical and translational research
J Clin Pathol,Journal of clinical pathology
J Bus Contin Emer Plan,Journal of business continuity & emergency planning
J Fam Psychol,Journal of family psychology
J BUON,Journal of B.U.ON.
J Clin Nurs,Journal of clinical nursing
Protoplasma,Protoplasma
J Clin Monit Comput,Journal of clinical monitoring and computing
Expert Rev Proteomics,Expert review of proteomics
Radiol Oncol,Radiology and oncology
Comput Intell Neurosci,Computational intelligence and neuroscience
JAMA Surg,JAMA surgery
Am J Obstet Gynecol,American journal of obstetrics and gynecology
Cartilage,Cartilage
Exp Neurol,Experimental neurology
Psychiatr Danub,Psychiatria Danubina
Immunol Res,Immunologic research
NPJ Breast Cancer,NPJ breast cancer
J Clin Diagn Res,Journal of clinical and diagnostic research
J Clin Densitom,Journal of clinical densitometry
J Chromatogr B Analyt Technol Biomed Life Sci,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences"
J Child Fam Stud,Journal of child and family studies
J Cereb Blood Flow Metab,Journal of cerebral blood flow and metabolism
J Neurosurg Anesthesiol,Journal of neurosurgical anesthesiology
Int J Equity Health,International journal for equity in health
J Biomol Tech,Journal of biomolecular techniques
J Biomed Phys Eng,Journal of biomedical physics & engineering
J Anesth Hist,Journal of anesthesia history
Psychol Sci Public Interest,Psychological science in the public interest
Int J Impot Res,International journal of impotence research
J Am Soc Cytopathol,Journal of the American Society of Cytopathology
Fungal Genet Biol,Fungal genetics and biology
J Am Pharm Assoc (2003),Journal of the American Pharmacists Association
Physiol Genomics,Physiological genomics
J Adv Med Educ Prof,Journal of advances in medical education & professionalism
ACS Nano,ACS nano
ESC Heart Fail,ESC heart failure
Invest Educ Enferm,Investigacion y educacion en enfermeria
Integr Cancer Ther,Integrative cancer therapies
Bull Cancer,Bulletin du cancer
Internist (Berl),Der Internist
Basic Clin Pharmacol Toxicol,Basic & clinical pharmacology & toxicology
Crit Care,Critical care
Int Tinnitus J,The international tinnitus journal
JHEP Rep,JHEP reports
Int J Otolaryngol,International journal of otolaryngology
Int J Obes (Lond),International journal of obesity
Int J Health Sci (Qassim),International journal of health sciences
Eur J Cardiovasc Nurs,European journal of cardiovascular nursing
Int J Gynaecol Obstet,International journal of gynaecology and obstetrics
HIV Med,HIV medicine
Genetics,Genetics
Qual Life Res,Quality of life research
Diagn Pathol,Diagnostic pathology
Nutr Hosp,Nutricion hospitalaria
Int J Cardiol Heart Vasc,International journal of cardiology. Heart & vasculature
Infect Disord Drug Targets,Infectious disorders drug targets
Inf Process Med Imaging,Information processing in medical imaging
Curr Biol,Current biology
Indian J Med Ethics,Indian journal of medical ethics
Stroke Vasc Neurol,Stroke and vascular neurology
Immunohorizons,ImmunoHorizons
IEEE/ACM Trans Comput Biol Bioinform,IEEE/ACM transactions on computational biology and bioinformatics
Acta Neuropathol,Acta neuropathologica
Acta Otorhinolaryngol Ital,Acta otorhinolaryngologica Italica
J Cataract Refract Surg,Journal of cataract and refractive surgery
J Cardiovasc Transl Res,Journal of cardiovascular translational research
Can J Gastroenterol Hepatol,Canadian journal of gastroenterology & hepatology
J Cardiovasc Electrophysiol,Journal of cardiovascular electrophysiology
J Cardiopulm Rehabil Prev,Journal of cardiopulmonary rehabilitation and prevention
J Cancer Res Ther,Journal of cancer research and therapeutics
BMJ Open Gastroenterol,BMJ open gastroenterology
An Sist Sanit Navar,Anales del sistema sanitario de Navarra
Arch Dis Child Fetal Neonatal Ed,Archives of disease in childhood. Fetal and neonatal edition
J Am Chem Soc,Journal of the American Chemical Society
BMC Nurs,BMC nursing
Occup Ther Health Care,Occupational therapy in health care
IEEE Int Conf Rehabil Robot,IEEE ... International Conference on Rehabilitation Robotics
IEEE EMBS Int Conf Biomed Health Inform,IEEE-EMBS International Conference on Biomedical and Health InformaticsInformatics
Hum Gene Ther Clin Dev,Human gene therapy. Clinical development
J Biomol Struct Dyn,Journal of biomolecular structure & dynamics
J Biomed Semantics,Journal of biomedical semantics
Huan Jing Ke Xue,Huan jing ke xue
Hua Xi Kou Qiang Yi Xue Za Zhi,Hua xi kou qiang yi xue za zhi
Ann Noninvasive Electrocardiol,Annals of noninvasive electrocardiology
J Biomech,Journal of biomechanics
Hu Li Za Zhi,Hu li za zhi The journal of nursing
J Biol Rhythms,Journal of biological rhythms
HPB (Oxford),HPB
Glob Chang Biol,Global change biology
Prim Care Diabetes,Primary care diabetes
Biom J,Biometrical journal. Biometrische Zeitschrift
Hosp Pract (1995),Hospital practice
Neuropsychology,Neuropsychology
Hosp Pediatr,Hospital pediatrics
J Behav Med,Journal of behavioral medicine
J Behav Health Serv Res,The journal of behavioral health services & research
J Asthma,The Journal of asthma
J Appl Genet,Journal of applied genetics
J Antimicrob Chemother,The Journal of antimicrobial chemotherapy
HIV AIDS (Auckl),HIV/AIDS
Hist Sci Med,Histoire des sciences medicales
Hisp Health Care Int,Hispanic health care international
HGG Adv,HGG advances
Heredity (Edinb),Heredity
Healthcare (Basel),Healthcare
J Am Geriatr Soc,Journal of the American Geriatrics Society
Inquiry,Inquiry
J Am Coll Radiol,Journal of the American College of Radiology
J Am Coll Cardiol,Journal of the American College of Cardiology
Chin Clin Oncol,Chinese clinical oncology
Neurol Sci,Neurological sciences
Clin Appl Thromb Hemost,Clinical and applied thrombosis/hemostasis
J Allergy Clin Immunol,The Journal of allergy and clinical immunology
Pediatr Endocrinol Rev,Pediatric endocrinology reviews
Healthc (Amst),Healthcare
J Adolesc Health,The Journal of adolescent health
Health Aff (Millwood),Health affairs
J Abnorm Psychol,Journal of abnormal psychology
Issues Ment Health Nurs,Issues in mental health nursing
CRISPR J,The CRISPR journal
Cleft Palate Craniofac J,The Cleft palate-craniofacial journal
Hawaii J Health Soc Welf,Hawai&i journal of health & social welfare
Harefuah,Harefuah
Health Place,Health & place
Genes Chromosomes Cancer,"Genes, chromosomes & cancer"
Handb Clin Neurol,Handbook of clinical neurology
Invest Radiol,Investigative radiology
Am J Chin Med,The American journal of Chinese medicine
Biochim Biophys Acta Rev Cancer,Biochimica et biophysica acta. Reviews on cancer
Taiwan J Obstet Gynecol,Taiwanese journal of obstetrics & gynecology
Tissue Eng Part A,Tissue engineering. Part A
Intern Med,Internal medicine
Interface Focus,Interface focus
IEEE Trans Cybern,IEEE transactions on cybernetics
Interact Cardiovasc Thorac Surg,Interactive cardiovascular and thoracic surgery
Graph Learn Med Imaging (2019),Graph Learning in Medical Imaging
Glob Ment Health (Camb),Global mental health
Integr Comp Biol,Integrative and comparative biology
Gig Sanit,Gigiena i sanitariia
Georgian Med News,Georgian medical news
Genom Data,Genomics data
Eur Neurol,European neurology
Int Rev Neurobiol,International review of neurobiology
Genet Res (Camb),Genetics research
Genes (Basel),Genes
Int J Surg,International journal of surgery
Int J Soc Psychiatry,The International journal of social psychiatry
J Aggress Maltreat Trauma,"Journal of aggression, maltreatment & trauma"
Mol Biotechnol,Molecular biotechnology
Mol Ther Oncolytics,Molecular therapy oncolytics
Ann Otol Rhinol Laryngol,"The Annals of otology, rhinology, and laryngology"
Clin Radiol,Clinical radiology
BMC Genom Data,BMC genomic data
Int J Psychophysiol,International journal of psychophysiology
Int J Psychiatry Clin Pract,International journal of psychiatry in clinical practice
Int J Prev Med,International journal of preventive medicine
Int J Paleopathol,International journal of paleopathology
Expert Rev Hematol,Expert review of hematology
J Vasc Surg,Journal of vascular surgery
Comput Methods Biomech Biomed Engin,Computer methods in biomechanics and biomedical engineering
BMC Med Educ,BMC medical education
Int J Nurs Stud,International journal of nursing studies
Int J Neural Syst,International journal of neural systems
Immunology,Immunology
Sleep,Sleep
Appl Clin Inform,Applied clinical informatics
Clin Gastroenterol Hepatol,Clinical gastroenterology and hepatology
Clin Transplant,Clinical transplantation
Complement Ther Med,Complementary therapies in medicine
Curr Med Res Opin,Current medical research and opinion
Clin J Am Soc Nephrol,Clinical journal of the American Society of Nephrology
Environ Pollut,Environmental pollution
Arq Bras Cardiol,Arquivos brasileiros de cardiologia
Clin Neurol Neurosurg,Clinical neurology and neurosurgery
BMC Psychiatry,BMC psychiatry
J Clin Transl Hepatol,Journal of clinical and translational hepatology
Am J Surg,American journal of surgery
J Cardiovasc Nurs,The Journal of cardiovascular nursing
Cell Metab,Cell metabolism
Infect Dis Poverty,Infectious diseases of poverty
Nutrition,Nutrition
Int J Ment Health Nurs,International journal of mental health nursing
Ethn Health,Ethnicity & health
Lancet Child Adolesc Health,The Lancet. Child & adolescent health
J Invest Surg,Journal of investigative surgery
Pharmazie,Die Pharmazie
Mol Aspects Med,Molecular aspects of medicine
EClinicalMedicine,EClinicalMedicine
Int J Med Robot,The international journal of medical robotics + computer assisted surgery
Int J Med Educ,International journal of medical education
Int J Legal Med,International journal of legal medicine
J Viral Hepat,Journal of viral hepatitis
Int J Health Care Qual Assur,International journal of health care quality assurance
Fertil Steril,Fertility and sterility
Chem Res Toxicol,Chemical research in toxicology
Int J Genomics,International journal of genomics
Amyotroph Lateral Scler Frontotemporal Degener,Amyotrophic lateral sclerosis & frontotemporal degeneration
J Pers,Journal of personality
Int J Evol Biol,International journal of evolutionary biology
Front Hum Neurosci,Frontiers in human neuroscience
Int J Food Sci Nutr,International journal of food sciences and nutrition
Int J Drug Policy,The International journal on drug policy
Int J Dev Biol,The International journal of developmental biology
J Pediatr Urol,Journal of pediatric urology
Biomed Opt Express,Biomedical optics express
