celltype_id	celltype_standard	celltype_ontology	status	def
CTP0001239	Oxt		author_defined	
CTP0001240	Inh L3-6 VIP KCTD13		author_defined	
CTP0001241	Epithelial cells-6-11		author_defined	
CTP0001242	Astrocyte.Gja1.Igfbp2		author_defined	
CTP0001243	Neuron.Sc17a7.Calb1-Ddit4l		author_defined	
CTP0001244	fibroblast of cardiac tissue 9		author_defined	
CTP0001245	conventional dendritic cell 1		author_defined	
CTP0001246	Neuron.Gad1Gad2_Sst.Pcdh11x		author_defined	
CTP0001247	Neuron.Slc17a7.Syt6-Tshz2-Nrep		author_defined	
CTP0001248	Oligodendrocyte Progenitors-11-3		author_defined	
CTP0001249	Exc L5-6 THEMIS SMYD1		author_defined	
CTP0001250	Chondrocytes & osteoblasts-2-14		author_defined	
CTP0001251	Hindbrain roof plate		author_defined	
CTP0001252	portal liver sinusoidal endothelial cell		author_defined	
CTP0001253	Perivascular fibroblast-like cells		author_defined	
CTP0001254	CD160+ natural killer cell		author_defined	
CTP0001255	L4 Arf5, L4 Sparcl1		author_defined	
CTP0001256	Postmitotic premature neurons-10-12		author_defined	
CTP0001257	Neuron.Gad1Gad2.Cplx3		author_defined	
CTP0001258	mantle B cell		author_defined	
CTP0001259	Neural progenitor cells-9-28		author_defined	
CTP0001260	pTEL.100.OLIG1		author_defined	
CTP0001261	Neuron.Gad1Gad2_Sst.Spon1		author_defined	
CTP0001262	276_NP PPP		author_defined	
CTP0001263	Exc L5-6 FEZF2 FILIP1L		author_defined	
CTP0001264	Jaw and tooth progenitors-4-9		author_defined	
CTP0001265	hair follicle bulge stem cell		author_defined	
CTP0001266	TEGLU24		author_defined	
CTP0001267	375_Oligo		author_defined	
CTP0001268	345_CA1		author_defined	
CTP0001269	L4 Arf5, L4 Scnn1a		author_defined	
CTP0001270	Pvalb Tacr3, Igtp		author_defined	
CTP0001271	IT		author_defined	
CTP0001272	Glia		author_defined	
CTP0001273	Sensory neurons-24-22		author_defined	
CTP0001274	Polydendrocyte.Tnr.Cspg5		author_defined	
CTP0001275	pTEL.24.PAX6		author_defined	
CTP0001276	Neuron.Slc17a6.Nkx6-1		author_defined	
CTP0001277	L5a Syt17, L5a Batf3		author_defined	
CTP0001278	Radial glia-7-21		author_defined	
CTP0001279	Exc L5 FEZF2 MORN2		author_defined	
CTP0001280	Granule neurons-28-6		author_defined	
CTP0001281	Cholinergic neurons		author_defined	
CTP0001282	VLMC2		author_defined	
CTP0001283	TEGLU6		author_defined	
CTP0001284	Cycling perivascular macrophages		author_defined	
CTP0001285	Radial glia-7-19		author_defined	
CTP0001286	Early macrophage		author_defined	
CTP0001287	212_L5/6 IT TPE-ENT		author_defined	
CTP0001288	Neuron.Slc17a7-Slc17a6.Fezf2-3110035E14Rik		author_defined	
CTP0001289	Neuron.Slc17a7.Nxph3-Ajap1		author_defined	
CTP0001290	120_Pvalb		author_defined	
CTP0001291	White blood cells-31-13		author_defined	
CTP0001292	348_CA1-do		author_defined	
CTP0001293	Sensory neurons-24-9		author_defined	
CTP0001294	Inh L1-6 VIP RCN1		author_defined	
CTP0001295	Neutrophils-38-4		author_defined	
CTP0001296	oligodendrocyte precursor cell		author_defined	
CTP0001297	Schwann cell 1		author_defined	
CTP0001298	Neural progenitor cells-9-19		author_defined	
CTP0001299	Neuron.Gad1Gad2.Scn4b		author_defined	
CTP0001300	committed proliferative nephron progenitor		author_defined	
CTP0001301	L6b Mup5		author_defined	
CTP0001302	Nr5a1/Adcyap1		author_defined	
CTP0001303	177_IT HATA		author_defined	
CTP0001304	Neuron.Gad1Gad2.Ndnf		author_defined	
CTP0001305	immature neuron 5		author_defined	
CTP0001306	Erythroid cell		author_defined	
CTP0001307	Granule neurons-28-9		author_defined	
CTP0001308	Excitatory neurons-5-13		author_defined	
CTP0001309	CD8+ T cell		author_defined	
CTP0001310	consensus molecular subtype 3		author_defined	
CTP0001311	Inhibitory neuron progenitors-18-11		author_defined	
CTP0001312	Sst/Nts		author_defined	
CTP0001313	Notochord cells-30-16		author_defined	
CTP0001314	227_L6 IT CTX		author_defined	
CTP0001315	Neurogenesis.Sox4.Stmn2-Csrp2		author_defined	
CTP0001316	Excitatory neurons-5-27		author_defined	
CTP0001317	Primitive erythroid lineage-26-1		author_defined	
CTP0001318	Neuron.Gad1Gad2.Hpcal4		author_defined	
CTP0001319	Non-neuronal		author_defined	
CTP0001320	Dorsal diencephalon		author_defined	
CTP0001321	83_Sst		author_defined	
CTP0001322	Definitive erythroid lineage-22-4		author_defined	
CTP0001323	Antigen presenting cell (RPS high)		author_defined	
CTP0001324	committed nephron progenitor		author_defined	
CTP0001325	Epithelial cells-6-26		author_defined	
CTP0001326	Premature oligodendrocyte-19-11		author_defined	
CTP0001327	Intermediate Mesoderm-3-7		author_defined	
CTP0001328	Epithelial cells-6		author_defined	
CTP0001329	Inh L1-2 SST CCNJL		author_defined	
CTP0001330	Secretory epithelial cell		author_defined	
CTP0001331	Schwann cell precursor-23-23		author_defined	
CTP0001332	Inh L3 VIP CBLN1		author_defined	
CTP0001333	T_cell		author_defined	
CTP0001334	Neutrophils-38-1		author_defined	
CTP0001335	nephron progenitor cell B		author_defined	
CTP0001336	233_L6 IT ENTl		author_defined	
CTP0001337	medial ganglionic eminence neuron		author_defined	
CTP0001338	134_L2 IT RSP-ACA		author_defined	
CTP0001339	Neuron.Sc17a7.Calb1-Lpl-Cadm2		author_defined	
CTP0001340	Stromal cell		author_defined	
CTP0001341	Smooth muscle cells		author_defined	
CTP0001342	Glu NeuB		author_defined	
CTP0001343	Excitatory		author_defined	
CTP0001344	Vascular endothelial cells		author_defined	
CTP0001345	Exc L4-5 RORB HNRNPA1P46		author_defined	
CTP0001346	GCL-I		author_defined	
CTP0001347	PAX6		author_defined	
CTP0001348	Exc L4-6 RORB HPCA		author_defined	
CTP0001349	Epithelial cells-6-9		author_defined	
CTP0001350	lymphatic endothelial cell (Endo l)		author_defined	
CTP0001351	Oligodendrocyte Progenitors-11-10		author_defined	
CTP0001352	Early mesenchyme-8-14		author_defined	
CTP0001353	Parstuber2A		author_defined	
CTP0001354	Inhibitory neurons-15-15		author_defined	
CTP0001355	90_Sst		author_defined	
CTP0001356	Schwann cell precursor-23-4		author_defined	
CTP0001357	prolifirating macrophage		author_defined	
CTP0001358	immature neuron 3		author_defined	
CTP0001359	Isthmic organizer cells-12-13		author_defined	
CTP0001360	Hindbrain serotoninergic		author_defined	
CTP0001361	319_SUB		author_defined	
CTP0001362	Diencephalic roof plate		author_defined	
CTP0001363	upper epithelial cell		author_defined	
CTP0001364	266_L5/6 NP CTX		author_defined	
CTP0001365	Oligodendrocyte.Tnf.Ptgds		author_defined	
CTP0001366	Stromal cells-16-6		author_defined	
CTP0001367	Postmitotic premature neurons-10-4		author_defined	
CTP0001368	pharyngeal mesoderm		author_defined	
CTP0001369	Meninges		author_defined	
CTP0001370	pDC		author_defined	
CTP0001371	B cell(Plasmocyte)		author_defined	
CTP0001372	TEINH1		author_defined	
CTP0001373	Non-cycling microglia		author_defined	
CTP0001374	Epithelial cells-6-21		author_defined	
CTP0001375	332_CA1-ProS		author_defined	
CTP0001376	Hepatocytes-29-13		author_defined	
CTP0001377	Polydendrocyte.Tnr.Pdgfa-Tmem2		author_defined	
CTP0001378	Isthmic organizer cells-12-3		author_defined	
CTP0001379	Astro L1 FGFR3 SERPINI2		author_defined	
CTP0001380	Ependymocy1		author_defined	
CTP0001381	SA-a		author_defined	
CTP0001382	Mossy-Cyp26b1		author_defined	
CTP0001383	Roof plate		author_defined	
CTP0001384	Definitive erythroid lineage-22-6		author_defined	
CTP0001385	Oligodendrocyte Progenitors-11-18		author_defined	
CTP0001386	Mural.Acta2Rgs5.Fos		author_defined	
CTP0001387	Neuron.Slc17a7.Syt6-Nefm		author_defined	
CTP0001388	Osteoblasts-17		author_defined	
CTP0001389	Mitotic.MkI67		author_defined	
CTP0001390	Lens-37-2		author_defined	
CTP0001391	White blood cells-31-14		author_defined	
CTP0001392	Neuron.Gad1Gad2.Drd1-Otof-Lmo2		author_defined	
CTP0001393	Definitive endoderm		author_defined	
CTP0001394	Schwann cells		author_defined	
CTP0001395	Neuron.Slc17a7.Fibcd1-Nrip3		author_defined	
CTP0001396	unassigned(2)		author_defined	
CTP0001397	Inh L1-6 LAMP5 AARD		author_defined	
CTP0001398	Neuron.Slc17a7-Slc17a8.Fezf2-Slc17a8		author_defined	
CTP0001399	Bergmann glia		author_defined	
CTP0001400	Chondroctye progenitors-21-11		author_defined	
CTP0001401	353_CA3-ve		author_defined	
CTP0001402	stromal cel type 2b		author_defined	
CTP0001403	Forebrain GABAergic neuron		author_defined	
CTP0001404	oMGE.100.PDGFRA		author_defined	
CTP0001405	Fetal epithelial progenitor		author_defined	
CTP0001406	GlioB		author_defined	
CTP0001407	Inh L5-6 SST FBN2		author_defined	
CTP0001408	Neuron.Slc17a7.Dcn-Camk2d		author_defined	
CTP0001409	Inh L1-6 SST NPY		author_defined	
CTP0001410	Cardiac muscle lineages-34-13		author_defined	
CTP0001411	Radial glia-7-8		author_defined	
CTP0001412	Astrocyte.Gja1.Notum		author_defined	
CTP0001413	320_SUB		author_defined	
CTP0001414	Hepatocytes-29-3		author_defined	
CTP0001415	neuronal cell		author_defined	
CTP0001416	pericyte		author_defined	
CTP0001417	Cortex_L5		author_defined	
CTP0001418	Sst Cdk6, Sst Cbln4		author_defined	
CTP0001419	TEGLU23		author_defined	
CTP0001420	prolifirating stroma progenitor		author_defined	
CTP0001421	Neuron.Gad1Gad2-Chat.Synpr-Slc5a7		author_defined	
CTP0001422	Pancreas primordium		author_defined	
CTP0001423	Neuron.Slc17a7.Nptxr-Calb1		author_defined	
CTP0001424	L4 IT		author_defined	
CTP0001425	Schwann cell precursor-23-19		author_defined	
CTP0001426	induced day 9 dendritic cell		author_defined	
CTP0001427	L6a Car12		author_defined	
CTP0001428	Intermediate Mesoderm-3-8		author_defined	
CTP0001429	HBGLU7		author_defined	
CTP0001430	Neural progenitor cells		author_defined	
CTP0001431	325_ProS		author_defined	
CTP0001432	Inh L1 VIP PCDH20		author_defined	
CTP0001433	White blood cells-31-6		author_defined	
CTP0001434	Exc L5-6 THEMIS GPR21		author_defined	
CTP0001435	nMGE.54.GAD1		author_defined	
CTP0001436	consensus molecular subtype 2 epithelial cell		author_defined	
CTP0001437	Jaw and tooth progenitors-4		author_defined	
CTP0001438	MEINH8		author_defined	
CTP0001439	Neural Tube-14-3		author_defined	
CTP0001440	Postmitotic premature neurons-10-18		author_defined	
CTP0001441	Mast cell		author_defined	
CTP0001442	Jaw and tooth progenitors-4-1		author_defined	
CTP0001443	Hindbrain floor plate		author_defined	
CTP0001444	Schwann cell precursor-23-3		author_defined	
CTP0001445	granule cell 0		author_defined	
CTP0001446	Endothelial_Stalk.Flt1.Gm9946		author_defined	
CTP0001447	Exc L3 LINC00507 CTXN3		author_defined	
CTP0001448	Osteoblasts-17-13		author_defined	
CTP0001449	VIP-expressing interneuron		author_defined	
CTP0001450	olfactory epithelial cell		author_defined	
CTP0001451	Intermediate Mesoderm-3-3		author_defined	
CTP0001452	Endo L2-5 NOSTRIN SRGN		author_defined	
CTP0001453	L2/3 IT		author_defined	
CTP0001454	Connective tissue progenitors-1-9		author_defined	
CTP0001455	L5		author_defined	
CTP0001456	Inh L1-6 LAMP5 CA1		author_defined	
CTP0001457	Inh L5-6 SST ISX		author_defined	
CTP0001458	Smooth muscle		author_defined	
CTP0001459	Inh L2-6 VIP VIP		author_defined	
CTP0001460	Inh L5 SST RPL35AP11		author_defined	
CTP0001461	Enteric neurons		author_defined	
CTP0001462	Neuron.Slc17a7-Slc17a6.Nxph3-Cbln2-Kcnh8		author_defined	
CTP0001463	Radial glia-7		author_defined	
CTP0001464	mast		author_defined	
CTP0001465	Neutrophils-38-2		author_defined	
CTP0001466	Myocytes-13-5		author_defined	
CTP0001467	125_L2 IT APr		author_defined	
CTP0001468	23_Sncg		author_defined	
CTP0001469	olfactory epithelial gland cell		author_defined	
CTP0001470	65_Sst Chodl		author_defined	
CTP0001471	Connective tissue progenitors-1-1		author_defined	
CTP0001472	maternal endothelial cell (Endo m)		author_defined	
CTP0001473	L6 Syt17, L5a Syt17		author_defined	
CTP0001474	189_L4/5 IT CTX		author_defined	
CTP0001475	Exc L4 RORB CACNG5		author_defined	
CTP0001476	Neuron.Gad1Gad2.Six3-Sst		author_defined	
CTP0001477	Sst Myh8		author_defined	
CTP0001478	Cholinergic neurons-33-1		author_defined	
CTP0001479	Radial glia-7-9		author_defined	
CTP0001480	Hepatocytes-29-7		author_defined	
CTP0001481	Oligodendrocyte.Tfr.Il33		author_defined	
CTP0001482	L4 Scnn1a, L4 Sparcl1		author_defined	
CTP0001483	MARCOpos macrophage		author_defined	
CTP0001484	Eye		author_defined	
CTP0001485	renal vesicle		author_defined	
CTP0001486	Polydendrocyte.Tnr.Ctps		author_defined	
CTP0001487	Inh L1 VIP KLHDC8B		author_defined	
CTP0001488	Muc5b+ Scgb1c1+ goblet cell		author_defined	
CTP0001489	Endothelial_Tip.Dcn.Ifitm1		author_defined	
CTP0001490	Postmitotic premature neurons-10-6		author_defined	
CTP0001491	Sst_Clstn2		author_defined	
CTP0001492	Jaw and tooth progenitors-4-14		author_defined	
CTP0001493	146_L2 IT ENTm		author_defined	
CTP0001494	Olfactory inhibitory neurons		author_defined	
CTP0001495	proliferating neural progenitor cell 5		author_defined	
CTP0001496	Neuron.Slc17a7.Syt6-Slc24a2		author_defined	
CTP0001497	Neuroblast		author_defined	
CTP0001498	kidney interstitial cell 12		author_defined	
CTP0001499	180_L4 IT CTX		author_defined	
CTP0001500	innate lymphocyte-like cell		author_defined	
CTP0001501	Postmitotic premature neurons-10-10		author_defined	
CTP0001502	Exc L5-6 THEMIS THTPA		author_defined	
CTP0001503	Chondroctye progenitors-21-3		author_defined	
CTP0001504	Neuron.Slc17a7.C1ql2-Cck		author_defined	
CTP0001505	Isthmic organizer cells-12-6		author_defined	
CTP0001506	L5 Ucma, L5a Fam5c		author_defined	
CTP0001507	Hypothalamus glutamatergic		author_defined	
CTP0001508	glandular epithelial cell (Epi1)		author_defined	
CTP0001509	Neuron.Gad1Gad2.Col25a1		author_defined	
CTP0001510	Neural progenitor cells-9-23		author_defined	
CTP0001511	L6 IT ENTl		author_defined	
CTP0001512	Ventromedial hypothalamus GABAergic neuron		author_defined	
CTP0001513	Astrocyte.Gja1.Sparc		author_defined	
CTP0001514	Caudal		author_defined	
CTP0001515	Neuron.Slc17a7-Slc17a6.Calb1-Rorb-Il1rapl2		author_defined	
CTP0001516	L5a Syt17		author_defined	
CTP0001517	11_Lamp5		author_defined	
CTP0001518	210_L5/6 IT TPE-ENT		author_defined	
CTP0001519	olfactory ensheathing cell		author_defined	
CTP0001520	GABAergic neuron of primary visual area, layer 1 to 4		author_defined	
CTP0001521	aNSC+TAC+NB		author_defined	
CTP0001522	Cholinergic neurons-33-2		author_defined	
CTP0001523	Neuron.Slc17a6-Slc17a7-Slc17a8.Fezf2.Slc17a8		author_defined	
CTP0001524	cancer associated fibroblast 1		author_defined	
CTP0001525	Postmitotic premature neurons-10-11		author_defined	
CTP0001526	glutamatergic neuron of primary visual area, layer 5		author_defined	
CTP0001527	epithelial progenitor cell of large intestine		author_defined	
CTP0001528	hepatocyte		author_defined	
CTP0001529	L2/3 IT ENTl		author_defined	
CTP0001530	37_Sncg		author_defined	
CTP0001531	321_SUB		author_defined	
CTP0001532	Neural progenitor cells-9-24		author_defined	
CTP0001533	Neuron.Slc17a7.Tac2.Chat		author_defined	
CTP0001534	Neuron.Slc17a7.Nxph3-Cplx3-Hs6st2		author_defined	
CTP0001535	Hepatocytes-29-8		author_defined	
CTP0001536	Postmitotic premature neurons-10-7		author_defined	
CTP0001537	Pvalb Tpbg, Pvalb Tacr3		author_defined	
CTP0001538	pancreatic B cell		author_defined	
CTP0001539	Ndnf		author_defined	
CTP0001540	136_L3 IT ENTm		author_defined	
CTP0001541	SEZ		author_defined	
CTP0001542	Neuron.Gad1Gad2_Pvalb.Pvalb-Megf11		author_defined	
CTP0001543	Excitatory neurons-5-4		author_defined	
CTP0001544	374_Oligo		author_defined	
CTP0001545	Cardiac muscle lineages-34-9		author_defined	
CTP0001546	Neuron.Slc17a7.Fibcd1-Grm5		author_defined	
CTP0001547	L5a		author_defined	
CTP0001548	Sst Th		author_defined	
CTP0001549	Inh L6 SST NPY		author_defined	
CTP0001550	Neuron.Gad1Gad2.Pnoc		author_defined	
CTP0001551	calretinin neuron		author_defined	
CTP0001552	22_Sncg		author_defined	
CTP0001553	Glutamatergic		author_defined	
CTP0001554	Melanocytes-36-10		author_defined	
CTP0001555	Neuron.Gad1Gad2.Otx2		author_defined	
CTP0001556	Cholinergic neurons-33-4		author_defined	
CTP0001557	gamma		author_defined	
CTP0001558	281_L6 CT CTX		author_defined	
CTP0001559	proliferating neural progenitor cell 4 - astrocyte		author_defined	
CTP0001560	early glomerular visceral epithelial cell 4		author_defined	
CTP0001561	Exc L3-5 RORB HSPB3		author_defined	
CTP0001562	Gad1Gad2_Htr3a.Efba5		author_defined	
CTP0001563	ipMGE.54.ST18		author_defined	
CTP0001564	conventional dendritic cell type 1		author_defined	
CTP0001565	Astrocyte.Gja1.Cst3		author_defined	
CTP0001566	Isthmic organizer cells-12-4		author_defined	
CTP0001567	arterially-primed endothelial cell		author_defined	
CTP0001568	Chondroctye progenitors-21-14		author_defined	
CTP0001569	Notochord cells-30-14		author_defined	
CTP0001570	8_Lamp5 Lhx6		author_defined	
CTP0001571	31_Sncg		author_defined	
CTP0001572	382_SMC-Peri		author_defined	
CTP0001573	unclassified endocrine cell		author_defined	
CTP0001574	Cardiac muscle lineages-34		author_defined	
CTP0001575	Neuron.Gad1Gad2.Sema3e		author_defined	
CTP0001576	Exc L3-5 FEZF2 ASGR2		author_defined	
CTP0001577	decidual natural killer cell (dNK1)		author_defined	
CTP0001578	Osteoblasts-17-9		author_defined	
CTP0001579	Oligodendrocyte Progenitors-11-14		author_defined	
CTP0001580	Inh L2-5 PVALB HHIPL1		author_defined	
CTP0001581	Chondrocytes & osteoblasts		author_defined	
CTP0001582	Schwann cell precursor-23-21		author_defined	
CTP0001583	nCTX.54.CORT		author_defined	
CTP0001584	paneth-like cell		author_defined	
CTP0001585	Exc L5 FEZF2 SCN7A		author_defined	
CTP0001586	148_L2 IT ENTm		author_defined	
CTP0001587	Neuron.Slc17a7.Nxph3-Hpcal1-Tpbg		author_defined	
CTP0001588	L2/3 IT RHP		author_defined	
CTP0001589	IN thalamus		author_defined	
CTP0001590	164_L2/3 IT CTX		author_defined	
CTP0001591	Inh L1-2 VIP WNT4		author_defined	
CTP0001592	Forebrain radial glia cell		author_defined	
CTP0001593	Kidney intercalated cell		author_defined	
CTP0001594	Exc L5-6 THEMIS OR1J1		author_defined	
CTP0001595	Astro L1 FGFR3 MT1G		author_defined	
CTP0001596	Mossy-Adcyap1		author_defined	
CTP0001597	Notochord cells-30-12		author_defined	
CTP0001598	Neuron.Slc17a6.Tcf7l2		author_defined	
CTP0001599	Cartilage primordium		author_defined	
CTP0001600	anti-inflammatory myeloid cell		author_defined	
CTP0001601	Schwann cell precursor-23-11		author_defined	
CTP0001602	Spermicyte		author_defined	
CTP0001603	191_L4/5 IT CTX		author_defined	
CTP0001604	Excitatory neurons-5-14		author_defined	
CTP0001605	Neuron.Sc17a7.Calb1-Otof		author_defined	
CTP0001606	pMGE.54.CRABP2		author_defined	
CTP0001607	Notochord cells-30-5		author_defined	
CTP0001608	DGGRC2		author_defined	
CTP0001609	Neuron.Slc17a6.Grp		author_defined	
CTP0001610	Osteoblasts-17-4		author_defined	
CTP0001611	Exc L6 FEZF2 POGK		author_defined	
CTP0001612	proximal S shaped body cell		author_defined	
CTP0001613	Th/Cxcl12		author_defined	
CTP0001614	Early mesenchyme-8-19		author_defined	
CTP0001615	Osteoblasts-17-5		author_defined	
CTP0001616	Inh L1-3 PAX6 NABP1		author_defined	
CTP0001617	early enterocyte progenitor		author_defined	
CTP0001618	neurogliaform cell of primary visual cortex		author_defined	
CTP0001619	Inh L1 LAMP5 GGT8P		author_defined	
CTP0001620	Ectoderm		author_defined	
CTP0001621	317_L6b CTX		author_defined	
CTP0001622	cardiomyocyte		author_defined	
CTP0001623	Stromal cells-16-9		author_defined	
CTP0001624	Endothelial_Tip.Dcn.Col15a1		author_defined	
CTP0001625	Schwann cell precursor-23-2		author_defined	
CTP0001626	Proximal tubule progenitor		author_defined	
CTP0001627	Ependymal cell-32-11		author_defined	
CTP0001628	Inh L5-6 SST KLHL14		author_defined	
CTP0001629	innate lymphoid cells		author_defined	
CTP0001630	Megakaryocytes-35-4		author_defined	
CTP0001631	26_Ntng1 HPF		author_defined	
CTP0001632	nMGE.125.NEFL		author_defined	
CTP0001633	fibroblast of cardiac tissue 6		author_defined	
CTP0001634	376_Astro		author_defined	
CTP0001635	Mural.Rgs5Acta2.Ccnd1		author_defined	
CTP0001636	T cell		author_defined	
CTP0001637	Pvalb Tpbg, Pvalb Gpx3		author_defined	
CTP0001638	Choroid plexus		author_defined	
CTP0001639	ParsTuber2		author_defined	
CTP0001640	Inh L1 PAX6 GRIP2		author_defined	
CTP0001641	Inh L1-3 VIP GGH		author_defined	
CTP0001642	proliferative kidney interstital cell 1		author_defined	
CTP0001643	167_L2/3 IT CTX		author_defined	
CTP0001644	ACNT1		author_defined	
CTP0001645	Fourth-ventricle roof plate		author_defined	
CTP0001646	Telencephalon projecting neurons		author_defined	
CTP0001647	CD14+ monocyte type 2		author_defined	
CTP0001648	Isthmic organizer cells-12-15		author_defined	
CTP0001649	Sensory neurons-24-16		author_defined	
CTP0001650	Inh L5-6 SST ISOC1		author_defined	
CTP0001651	Diencephalon glutamatergic neuron		author_defined	
CTP0001652	Neuron.Gad1Gad2.Cplx3-Dpy19l1		author_defined	
CTP0001653	Dorsal root ganglion		author_defined	
CTP0001654	331_CA1-ProS		author_defined	
CTP0001655	279_L6 CT CTX		author_defined	
CTP0001656	NP SUB		author_defined	
CTP0001657	Inh L3-5 SST OR5AH1P		author_defined	
CTP0001658	Endothelial_Tip.Dcn.Mgp-Penk		author_defined	
CTP0001659	Premature oligodendrocyte-19-2		author_defined	
CTP0001660	Radial glia-7-16		author_defined	
CTP0001661	vasoactive intestinal peptide positive neuron		author_defined	
CTP0001662	Polydendrocyte.Tnr.Lims2-Tmsb4x		author_defined	
CTP0001663	Neuron.Gad1Gad2.Vipr2		author_defined	
CTP0001664	Excitatory neurons-5-2		author_defined	
CTP0001665	Neuron.Slc17a7.Syt6-Efna5		author_defined	
CTP0001666	Excitatory neurons-5-12		author_defined	
CTP0001667	kidney interstital cell 2		author_defined	
CTP0001668	350_Mossy		author_defined	
CTP0001669	Myocytes		author_defined	
CTP0001670	Axon tract-associated microglia		author_defined	
CTP0001671	Astrocyte.Gja1.Crym		author_defined	
CTP0001672	144_L2/3 IT PAR		author_defined	
CTP0001673	Inhibitory neuron progenitors		author_defined	
CTP0001674	Notochord		author_defined	
CTP0001675	Neuron.Sc17a7.Tshz2-Smoc1		author_defined	
CTP0001676	Vascular		author_defined	
CTP0001677	Radial glia-7-20		author_defined	
CTP0001678	Pvalb Tacr3, Pvalb Wt1		author_defined	
CTP0001679	cortical layer 2-3 excitatory neuron B		author_defined	
CTP0001680	fibroblast of cardiac tissue 7		author_defined	
CTP0001681	Postmitotic premature neurons-10-24		author_defined	
CTP0001682	Ovary		author_defined	
CTP0001683	Granule neurons-28-15		author_defined	
CTP0001684	IN Sst+		author_defined	
CTP0001685	Excitatory neurons-5-11		author_defined	
CTP0001686	DC2		author_defined	
CTP0001687	Lens-37-5		author_defined	
CTP0001688	Neuron.Gad1Gad2.Pappa		author_defined	
CTP0001689	Lens-37-1		author_defined	
CTP0001690	fibroblast of cardiac tissue 1		author_defined	
CTP0001691	Definitive erythroid lineage-22-17		author_defined	
CTP0001692	Inh L1 PAX6 MIR101-1		author_defined	
CTP0001693	Endothelial_Tip.Dcn.Coch		author_defined	
CTP0001694	Early mesenchyme-8-4		author_defined	
CTP0001695	White blood cells-31-10		author_defined	
CTP0001696	Polydendrocye.Tnr.Ctps		author_defined	
CTP0001697	L5 Ucma, L5a Batf3		author_defined	
CTP0001698	fetal endothelial cell		author_defined	
CTP0001699	Polydendrocyte.Tnr.Tmsb4x		author_defined	
CTP0001700	322_ProS		author_defined	
CTP0001701	195_L5 IT RSP-ACA		author_defined	
CTP0001702	Sensory neurons-24-14		author_defined	
CTP0001703	L6 Syt17		author_defined	
CTP0001704	145_L2/3 IT PAR		author_defined	
CTP0001705	Ependymal cell-32-5		author_defined	
CTP0001706	Neuron.Gad1Gad2.Drd1-Nfib		author_defined	
CTP0001707	Fiber tract		author_defined	
CTP0001708	Chondrocytes & osteoblasts-2-21		author_defined	
CTP0001709	Melanocytes-36		author_defined	
CTP0001710	Endothelial_Tip.Dcn.Mgp-Clu		author_defined	
CTP0001711	Chondroctye progenitors-21-9		author_defined	
CTP0001712	Angioblast		author_defined	
CTP0001713	ip.125.DLL1		author_defined	
CTP0001714	Myocytes-13-6		author_defined	
CTP0001715	Endothelial_Tip.Dcn.Inmt		author_defined	
CTP0001716	Definitive erythroid lineage-22-1		author_defined	
CTP0001717	Neuron.Gad1Gad2.Pvalb		author_defined	
CTP0001718	369_Oligo		author_defined	
CTP0001719	MEGLU3		author_defined	
CTP0001720	200_L5 IT CTX		author_defined	
CTP0001721	166_L2/3 IT CTX		author_defined	
CTP0001722	TA-b		author_defined	
CTP0001723	324_ProS		author_defined	
CTP0001724	nCTX.54.SST		author_defined	
CTP0001725	40_Vip		author_defined	
CTP0001726	Notochord cells-30-13		author_defined	
CTP0001727	TEGLU4		author_defined	
CTP0001728	292_L6 CT CTX		author_defined	
CTP0001729	Inh L2-4 VIP LGI2		author_defined	
CTP0001730	Premature oligodendrocyte-19-14		author_defined	
CTP0001731	Gad1Gad2_Id2.Prlr		author_defined	
CTP0001732	Endothelial cells-20-14		author_defined	
CTP0001733	Cholinergic neurons-33-7		author_defined	
CTP0001734	ParsTuber1		author_defined	
CTP0001735	208_L5/6 IT CTX		author_defined	
CTP0001736	Immature sertoli cell (Pre-Sertoli cell)		author_defined	
CTP0001737	Sst Tacstd2, Pvalb Rspo2		author_defined	
CTP0001738	158_L2/3 IT AI		author_defined	
CTP0001739	Inh L1-2 VIP PPAPDC1A		author_defined	
CTP0001740	Limb mesenchyme-25		author_defined	
CTP0001741	L5b2		author_defined	
CTP0001742	Exc L6 THEMIS LINC00343		author_defined	
CTP0001743	cytotoxic T cell type 2		author_defined	
CTP0001744	Inh L5-6 PVALB MEPE		author_defined	
CTP0001745	Neural progenitor cells-9-15		author_defined	
CTP0001746	Exc L3-5 FEZF2 LINC01107		author_defined	
CTP0001747	Intermediate Mesoderm-3-1		author_defined	
CTP0001748	372_Oligo		author_defined	
CTP0001749	medial/distal nephron progenitor 2		author_defined	
CTP0001750	Intermediate Mesoderm-3-24		author_defined	
CTP0001751	96_Sst		author_defined	
CTP0001752	Inh L2-5 VIP TOX2		author_defined	
CTP0001753	Neuron.Gad1Gad2.Sst-Crh		author_defined	
CTP0001754	Osteoblasts-17-19		author_defined	
CTP0001755	olfactory horizontal basal cell		author_defined	
CTP0001756	Endothelial cells-20-7		author_defined	
CTP0001757	Olfactory epithelium		author_defined	
CTP0001758	mesen/rhombencephalon inhibitory neurons		author_defined	
CTP0001759	Vip Gpc3		author_defined	
CTP0001760	Sst Tacstd2		author_defined	
CTP0001761	Early mesenchyme-8-9		author_defined	
CTP0001762	85_Sst		author_defined	
CTP0001763	215_L5/6 IT TPE-ENT		author_defined	
CTP0001764	TA-a		author_defined	
CTP0001765	344_CA1		author_defined	
